2024-02-04 20:04:49,876 INFO    MainThread:83833 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_setup.py:_flush():76] Configure stats pid to 83833
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_setup.py:_flush():76] Loading settings from /Users/xiaoxiaoqi/.config/wandb/settings
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_setup.py:_flush():76] Loading settings from /Users/xiaoxiaoqi/Documents/repo/udacity/MLOps/MLOps_p2/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/settings
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/upload_artifact.py', 'program_abspath': '/Users/xiaoxiaoqi/Documents/repo/udacity/MLOps/MLOps_p2/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/upload_artifact.py', 'program': '/Users/xiaoxiaoqi/Documents/repo/udacity/MLOps/MLOps_p2/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/upload_artifact.py'}
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_init.py:_log_setup():526] Logging user logs to /Users/xiaoxiaoqi/Documents/repo/udacity/MLOps/MLOps_p2/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20240204_200449-janyo37l/logs/debug.log
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/xiaoxiaoqi/Documents/repo/udacity/MLOps/MLOps_p2/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20240204_200449-janyo37l/logs/debug-internal.log
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_init.py:init():566] calling init triggers
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_init.py:init():616] starting backend
2024-02-04 20:04:49,877 INFO    MainThread:83833 [wandb_init.py:init():620] setting up manager
2024-02-04 20:04:49,882 INFO    MainThread:83833 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-04 20:04:49,884 INFO    MainThread:83833 [wandb_init.py:init():628] backend started and connected
2024-02-04 20:04:49,887 INFO    MainThread:83833 [wandb_init.py:init():720] updated telemetry
2024-02-04 20:04:49,927 INFO    MainThread:83833 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-04 20:04:50,299 INFO    MainThread:83833 [wandb_run.py:_on_init():2254] communicating current version
2024-02-04 20:04:50,446 INFO    MainThread:83833 [wandb_run.py:_on_init():2263] got version response 
2024-02-04 20:04:50,446 INFO    MainThread:83833 [wandb_init.py:init():804] starting run threads in backend
2024-02-04 20:04:50,586 INFO    MainThread:83833 [wandb_run.py:_console_start():2233] atexit reg
2024-02-04 20:04:50,586 INFO    MainThread:83833 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-04 20:04:50,587 INFO    MainThread:83833 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-04 20:04:50,587 INFO    MainThread:83833 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-04 20:04:50,587 INFO    MainThread:83833 [wandb_init.py:init():847] run started, returning control to user process
2024-02-04 20:04:56,279 WARNING MsgRouterThr:83833 [router.py:message_loop():77] message_loop has been closed
